Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
1.714855711950618,-1.2076656872885707,-1.1723376647109933,0.11936981004480307,-0.15071355525385355,-1.7921915797259704,0
-0.15873445295239835,-1.1564120099197617,-1.0969461136259206,-0.3687250968052682,0.09824636844858849,-1.7491718215008583,0
-0.15873445295239835,-1.2076656872885707,-1.2477292157961086,-0.061532498088440135,0.3187537294421801,-1.720491982684117,0
-0.15873445295239835,-1.1564120099197617,-1.1723376647109933,-0.2833938193839271,-0.38544719760187013,-1.6918121438673754,0
-0.15873445295239835,-1.1564120099197617,-1.0969461136259206,-0.3687250968052682,-0.349881494215807,-1.663132305050634,0
1.714855711950618,-1.2076656872885707,-1.1723376647109933,-0.31069982815875624,-0.21473182134876712,-1.6344524662338926,0
-0.15873445295239835,-1.2076656872885707,-1.1723376647109933,0.1432625677227786,-0.17916611796270399,-1.5914327080087805,0
-0.15873445295239835,-1.2076656872885707,-1.1723376647109933,0.03745178372031558,-0.3356552128613815,-1.562752869192039,0
1.714855711950618,-1.1051583325509236,-1.0969461136259206,0.5153069372798259,-1.1607795314180467,-1.5340730303752976,0
1.714855711950618,-1.0026509778132766,-0.8707714603706173,0.7678875184469957,-1.2034583754813226,-1.4910532721501855,0
-2.032324617855415,-1.0539046551821147,-0.9461630114557327,0.9078308134179951,-1.4950971432470406,-1.4480335139250733,0
-2.032324617855415,-0.9513973004444386,-0.7953799092855018,-0.3175263303524635,-0.04401644509566411,-1.3763339168832198,0
1.714855711950618,-0.9513973004444386,-0.7953799092855018,-0.6042394224881698,0.439677120954795,-1.3046343198413661,0
1.714855711950618,-0.9513973004444386,-0.7199883582004293,0.7713007695438493,-1.0611955619370699,-1.261614561616254,0
-0.15873445295239835,-0.9513973004444386,-0.7199883582004293,1.7713833409219675,-1.8009621923671832,-1.2185948033911418,0
-0.15873445295239835,-0.9513973004444386,-0.7199883582004293,0.08865055017312026,0.2476223226700538,-1.1899149645744005,0
1.714855711950618,-0.9513973004444386,-0.7199883582004293,-0.6998104532000718,0.11958579048022668,-1.161235125757659,0
1.714855711950618,-0.9001436230756297,-0.7199883582004293,-0.36189859461156093,0.048454383708100374,-1.1182153675325468,0
-2.032324617855415,-0.8488899457067915,-0.7199883582004293,-0.7168767086843401,0.6815239039800243,-1.0751956093074349,0
1.714855711950618,-0.7976362683379826,-0.6445968071153139,0.3958431488899483,-0.8833670450067542,-1.0034960122655812,0
-2.032324617855415,-0.7976362683379826,-0.6445968071153139,-0.4813623830014385,-0.1578266959310658,-0.9604762540404691,0
-0.15873445295239835,-0.8488899457067915,-0.6445968071153139,-0.2253685507374151,-0.008450741709600964,-0.8887766569986155,0
1.714855711950618,-0.7976362683379826,-0.6445968071153139,0.22176734295041242,-1.0114035771965817,-0.8600968181818741,0
-0.15873445295239835,-0.7463825909691446,-0.5692052560302414,0.8259127870935077,-1.367060611057213,-0.8170770599567619,0
1.714855711950618,-0.7463825909691446,-0.5692052560302414,0.15350232101333952,-0.5419362925005482,-0.7883972211400205,0
-0.15873445295239835,-0.7463825909691446,-0.49381370494512594,1.177477650069433,-1.537775987310316,-0.7453774629149084,0
-0.15873445295239835,-0.6951289136003066,-0.49381370494512594,-0.0137469827324891,-0.42101290098793326,-0.716697624098167,0
-2.032324617855415,-0.6951289136003066,-0.5692052560302414,1.006815095226751,-1.445305158506552,-0.6880177852814255,0
-0.15873445295239835,-0.6951289136003066,-0.5692052560302414,-0.2629143128028052,-0.05112958577287634,-0.616318188239572,0
-0.15873445295239835,-0.7463825909691446,-0.5692052560302414,0.6040514657980207,-1.0540824212598572,-0.5876383494228306,0
1.714855711950618,-0.6951289136003066,-0.49381370494512594,-0.6042394224881698,0.23339604131562885,-0.558958510606089,0
-0.15873445295239835,-0.7463825909691446,-0.5692052560302414,0.9624428309676535,-1.3812868924116384,-0.515938752380977,0
-0.15873445295239835,-0.7463825909691446,-0.5692052560302414,-0.3311793347398781,0.24050918199284108,-0.4872589135642355,0
-0.15873445295239835,-0.7976362683379826,-0.6445968071153139,0.5084804350861186,-0.8833670450067542,-0.4585790747474941,0
1.714855711950618,-0.8488899457067915,-0.7953799092855018,0.14667581881963224,-0.7268779501080762,-0.42989923593075263,0
1.714855711950618,-0.8488899457067915,-0.7199883582004293,-0.21854204854370782,0.2618486040244793,-0.3868794777056405,0
1.714855711950618,-0.7976362683379826,-0.7199883582004293,0.22176734295041242,-0.5846151365638236,-0.3438597194805284,0
-0.15873445295239835,-0.8488899457067915,-0.7953799092855018,-0.2629143128028052,-0.4067866196335078,-0.30083996125541623,0
-2.032324617855415,-0.7976362683379826,-0.7199883582004293,-0.4677093786140239,0.4112245582459446,-0.2721601224386748,0
-0.15873445295239835,-0.8488899457067915,-0.7953799092855018,-0.5666936604227797,0.5392610904357718,-0.20046052539682124,0
-0.15873445295239835,-0.8488899457067915,-0.7953799092855018,-0.5257346472605359,0.03422810235367491,-0.1717806865800798,0
